"id","name","slug","description","image","width","height","price","stock","createdAt","updatedAt"
1584,"Kongens Store Tale","kongens-store-tale","&#8216;Kongens store tale&#8217; vandt fire Oscars for Bedste film, Bedste instruktion, Bedste originale manuskript og Bedste mandlige hovedrolle.
Dansk biografpremiere 03.03.2011
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/kongensstoreta.jpg",69,101,50,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1586,"Boogie Nights","boogie-nights","&#8216;Boogie Nights&#8217; følger en ung mand i 70&#8217;erne og 80&#8217;erne, som bliver en stor stjerne i den opblomstrende pornoindustri i Californien.
Medvirkende: Mark Wahlberg, Julianne Moore, Burt Reynolds.
Instruktør: Paul Thomas Anderson
Filmen var nomineret til tre Oscars for Bedste manuskript, mandlige og kvindelige birolle.
Dansk biografpremiere	05.06.1998
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/boogie-nights-pl.jpg",62,85,100,2,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1589,"Toy Story 3  (Teaser 1)","toy-story-3-teaser-1","Filmen modtog to Oscars for Bedste animationsfilm og Bedste originale sang.
Dansk biografpremiere 26.08.2010
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/toy-story3-teaser.jpg",62,85,70,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1592,"Toy Story 3  (Teaser 2)","toy-story-3-teaser-2","Filmen modtog to Oscars for Bedste animationsfilm og Bedste originale sang.
Dansk biografpremiere 26.08.2010
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/toy-story-3-teaser-2.jpg",62,85,70,5,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1594,"Den Fantastiske Rejse - Væk i San Francisco","den-fantastiske-rejse-vaek-i-san-francisco","Dansk biografpremiere 04.10.1996
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/den-fantas-plakat.jpg",62,85,40,4,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1596,"Star Trek: First Contact","star-trek-first-contact","&#8216;Star Trek: First Contact&#8217; er den ottende film i science fiction-serien.
Dansk biografpremiere 1996
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/star-trek-first-cont.jpg",62,85,100,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1599,"The Dark Knight","the-dark-knight","&#8216;The Dark Knight&#8217; er instrueret af Christopher Nolan, som også instruerede efterfølgeren The Dark Knight Rises.
Dansk biografpremiere 22.07.2008
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/dark-knight-pl.jpg",62,85,100,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1600,"Han kom, Han så, Han skød","han-kom-han-saa-han-skoed","Amerikansk-mexicansk western fra 1970, som er instrueret af Don Siegel. Filmen har Shirley MacLaine og Clint Eastwood i hovedrollerne.
Ennio Morricone komponerede musikken til filmen.
Dansk biografpremiere 17.04.1970
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/han-kom-han-sa.jpeg",62,85,600,0,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1603,"Dirty Harry","dirty-harry","&#8220;Dirty Harry&#8221; er den første af i alt fem film om den egenrådige politimand, inkarneret af Eastwood i hans måske mest karrieredefinerende rolle gennem tiden. En klassiker! Clint Eastwood i rollen som politimanden ”Dirty” Harry Callahan – hans mest karrieredefinerende rolle gennem tiden.
Dansk biografpremiere	07.04.1972
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/dirty-harry-plk.jpeg",62,85,800,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
1605,"En Lille Film om Kunsten at Dræbe","en-lille-film-om-kunsten-at-draebe","&#8216;En lille film om kunsten at dræbe&#8217;, Kieslowskis internationale gennembrud, der vandt Juryens Grand Prix i Cannes.
Dansk biografpremiere 17.02.1989
Plakaten har buk/folder samt små huller i hjørner fra nåle.
","https://info.kinorevuen.dk/wp-content/uploads/2021/02/kunsten-at-dr-plk.jpg",62,85,70,1,"2023-01-30 04:06:47","2023-01-30 04:06:47"
